City_ID,City,Country,Max Temp,City Description,Lat,Lng,Hotel Name
510,Biak,ID,83.37,overcast clouds,-0.9131,122.8766,
511,Antofagasta,CL,65.48,scattered clouds,-23.65,-70.4,
512,Pueblo Rico,CO,61.43,light rain,5.2383,-76.0364,
515,Ouadda,CF,66.63,clear sky,8.0777,22.4007,
517,Bondo,CD,70.59,overcast clouds,3.8146,23.6866,
519,Obo,CF,71.37,overcast clouds,5.3998,26.4869,
521,Kieta,PG,87.08,broken clouds,-6.2167,155.6333,
525,Portobelo,PA,75.96,scattered clouds,9.55,-79.65,
527,Mouila,GA,72.75,broken clouds,-1.8685,11.0559,
529,Saint-Joseph,RE,73.78,overcast clouds,-21.3667,55.6167,
531,Fernandopolis,BR,68.67,overcast clouds,-20.2839,-50.2464,
539,Bom Jardim,BR,71.47,overcast clouds,-7.7958,-35.5872,
544,Dicabisagan,PH,76.14,overcast clouds,17.0818,122.4157,
545,Port Hedland,AU,89.65,scattered clouds,-20.3167,118.5667,
547,Punta De Bombon,PE,70.05,overcast clouds,-17.1717,-71.7931,
552,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,
553,Sola,VU,78.85,light rain,-13.8833,167.55,
555,Omboue,GA,74.93,moderate rain,-1.5746,9.2618,
